Tarih,Çalışma Grubu,İstasyon Adı,Sağlam(dz),Miktar (kg.),Ürün Grubu,Model Ad
 06.Jan.2023,GÜNDÜZ,A0010,8.83,2.810,BAYAN SOKET,FOX  SAKES
 25.Jan.2023,GECE,A0028,15.42,4.290,PATİK,CODE 3P.XX SHORT
 16.Feb.2023,GÜNDÜZ,A0017,11.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 21.Feb.2023,GÜNDÜZ,A0031,5.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 19.Jan.2023,GECE,A0033,13.92,2.520,BAYAN BAMBU BABET,2023-3
 06.Jan.2023,GÜNDÜZ,A0031,8.42,1.470,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 20.Jan.2023,GECE,A0004,14.58,3.450,SNİCKERS,2023-2
 29.Jan.2023,GECE,A0007,23.83,4.930,SNİCKERS,2023-2
 18.Jan.2023,GÜNDÜZ,A0017,8.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 27.Jan.2023,GECE,A0026,5.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 09.Feb.2023,GECE,A0025,15.33,4.800,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GECE,A0012,14.67,5.100,BAYAN SOKET,2023-1
 03.Feb.2023,GECE,A0026,5.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 18.Jan.2023,GÜNDÜZ,A0023,10.58,3.780,BAYAN SOKET,2023-1
 07.Jan.2023,GECE,A0010,4.75,1.640,BAYAN SOKET,DALMACYA RENKLI
 05.Jan.2023,GÜNDÜZ,A0011,11.58,3.480,KISA KONÇ,BRK-2
 06.Jan.2023,GÜNDÜZ,A0030,21.00,7.380,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 22.Jan.2023,GECE,A0001,27.42,7.760,KISA KONÇ,KISAKONC
 05.Jan.2023,GECE,A0029,11.25,4.560,BAYAN SOKET,FLORAL ANKLE
 10.Jan.2023,GECE,A0009,12.17,4.510,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 19.Jan.2023,GÜNDÜZ,A0022,10.25,2.360,SNİCKERS,2023-2
 07.Feb.2023,GECE,A0002,25.25,6.660,PATİK,CODE 3P.XX SHORT
 26.Jan.2023,GÜNDÜZ,A0001,15.92,4.690,KISA KONÇ,KISAKONC
 06.Jan.2023,GECE,A0005,11.42,4.450,BAYAN SOKET,MAVI COKLU ARI
 16.Jan.2023,GÜNDÜZ,A0014,10.42,3.810,BAYAN SOKET,2023-1
 30.Jan.2023,GÜNDÜZ,A0028,11.17,3.540,KISA KONÇ,KISAKONC
 27.Jan.2023,GÜNDÜZ,A0033,8.08,1.470,BAYAN BAMBU BABET,2023-3
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 27.Jan.2023,GÜNDÜZ,A0007,9.17,1.920,SNİCKERS,2023-2
 25.Jan.2023,GÜNDÜZ,A0025,6.17,2.250,KISA KONÇ,KISAKONC
 10.Jan.2023,GECE,A0010,8.50,2.880,BAYAN SOKET,DALMACYA RENKLI
 24.Jan.2023,GECE,A0024,18.00,3.150,SNİCKERS,2023-2
 16.Feb.2023,GÜNDÜZ,A0014,10.67,3.340,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GÜNDÜZ,A0025,9.00,2.780,PATİK,CODE 3P.XX SHORT
 13.Jan.2023,GÜNDÜZ,A0007,6.92,2.750,BAYAN SOKET,DENIZ MAHSULLERİ
 29.Jan.2023,GECE,A0021,28.33,8.600,KISA KONÇ,KISAKONC
 02.Jan.2023,GECE,A0019,11.50,4.000,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 11.Jan.2023,GECE,A0025,13.50,5.170,BAYAN SOKET,TEK ARI
 26.Jan.2023,GÜNDÜZ,A0023,10.00,2.390,SNİCKERS,2023-2
 07.Jan.2023,GECE,A0001,2.67,1.000,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 03.Feb.2023,GÜNDÜZ,A0021,8.67,2.460,BAYAN PATİK,KISAKONC SİM ÇEMBER
 11.Jan.2023,GECE,A0015,15.33,5.500,BAYAN SOKET,2023-1
 03.Jan.2023,GÜNDÜZ,A0036,10.33,3.680,BAYAN SOKET,2023-1
 10.Jan.2023,GÜNDÜZ,A0006,11.00,0.000,ERKEK PATİK,CARERA PATİK
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 13.Jan.2023,GÜNDÜZ,A0005,7.17,2.820,BAYAN SOKET,MAVI COKLU ARI
 31.Jan.2023,GÜNDÜZ,A0023,10.17,2.390,SNİCKERS,2023-2
 07.Feb.2023,GÜNDÜZ,A0025,10.17,3.560,KISA KONÇ,KISAKONC
 20.Jan.2023,GÜNDÜZ,A0006,9.00,0.000,ERKEK PATİK,CARERA PATİK
 23.Jan.2023,GÜNDÜZ,A0028,12.00,3.310,PATİK,CODE 3P.XX SHORT
 29.Jan.2023,GECE,A0027,27.42,8.660,KISA KONÇ,KISAKONC
 20.Jan.2023,GÜNDÜZ,A0030,10.50,2.720,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GECE,A0007,13.75,2.330,ÇETİK,CEMBERLI BABET
 11.Jan.2023,GÜNDÜZ,A0031,8.33,1.600,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 02.Feb.2023,GÜNDÜZ,A0009,10.58,2.300,BAYAN PATİK,D
 03.Feb.2023,GECE,A0028,15.75,4.950,KISA KONÇ,KISAKONC
 25.Jan.2023,GECE,A0023,14.50,3.450,SNİCKERS,2023-2
 20.Feb.2023,GECE,A0036,21.08,11.120,SOKET TENİS,3P-TENİS HAVLU
 19.Jan.2023,GÜNDÜZ,A0003,8.00,2.800,BAYAN SOKET,RIB ANKLE PURPLE
 17.Feb.2023,GÜNDÜZ,A0026,9.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 17.Jan.2023,GÜNDÜZ,A0020,7.92,2.800,BAYAN SOKET,RIB ANKLE PURPLE
 12.Jan.2023,GÜNDÜZ,A0001,9.92,2.330,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 02.Feb.2023,GÜNDÜZ,A0003,10.17,2.900,PATİK,CODE 3P.XX SHORT
 09.Feb.2023,GECE,A0010,16.67,4.360,PATİK,CODE 3P.XX SHORT
 06.Feb.2023,GÜNDÜZ,A0010,11.33,2.980,PATİK,CODE 3P.XX SHORT
 07.Feb.2023,GECE,A0008,6.50,1.230,ÇETİK,KAMUFLAJ  BABET
 20.Jan.2023,GÜNDÜZ,A0018,12.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 12.Feb.2023,GECE,A0006,24.00,0.000,ERKEK PATİK,CARERA PATİK
 10.Feb.2023,GECE,A0012,24.08,8.250,KISA KONÇ,KISAKONC
 10.Jan.2023,GECE,A0016,15.33,5.580,BAYAN SOKET,2023-1
 25.Jan.2023,GECE,A0001,8.08,2.290,KISA KONÇ,KISAKONC
 13.Feb.2023,GÜNDÜZ,A0034,11.00,0.000,ERKEK PATİK,CARERA PATİK
 02.Feb.2023,GECE,A0014,15.00,5.380,KISA KONÇ,KISAKONC
 01.Feb.2023,GÜNDÜZ,A0011,9.08,1.510,BAYAN BAMBU BABET,2023-3
 02.Feb.2023,GÜNDÜZ,A0010,8.58,2.870,BAYAN SOKET,WHITE HEEL TOE ANKLE
 16.Feb.2023,GECE,A0022,14.58,3.990,BAYAN SOKET,CEMBERLI YILDIZLI PATİK
 20.Feb.2023,GECE,A0031,8.00,0.000,HAVLU DİZALTI,DERBILI HAVLU DİZALTI
 03.Feb.2023,GÜNDÜZ,A0005,22.42,13.350,SOKET TENİS,3P-TENİS HAVLU
 29.Jan.2023,GECE,A0025,24.75,8.950,KISA KONÇ,KISAKONC
 13.Feb.2023,GÜNDÜZ,A0012,12.83,3.920,PATİK,CODE 3P.XX SHORT
 20.Jan.2023,GECE,A0017,22.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 14.Feb.2023,GÜNDÜZ,A0036,7.83,4.620,SOKET TENİS,3P-TENİS HAVLU
 09.Jan.2023,GECE,A0018,17.00,0.000,BAYAN PATİK,BAYAN SIMLI PUANLI PATIK
 09.Feb.2023,GÜNDÜZ,A0026,12.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 25.Jan.2023,GÜNDÜZ,A0001,10.00,2.990,KISA KONÇ,KISAKONC
 08.Jan.2023,GÜNDÜZ,A0003,17.58,6.280,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 27.Jan.2023,GÜNDÜZ,A0014,9.50,3.300,KISA KONÇ,KISAKONC
 21.Feb.2023,GECE,A0018,18.00,0.000,BAYAN PATİK,SİM CEMBER PATİK
 01.Feb.2023,GÜNDÜZ,A0016,9.42,3.300,KISA KONÇ,KISAKONC
 05.Jan.2023,GECE,A0020,10.17,3.500,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 17.Feb.2023,GÜNDÜZ,A0024,8.92,1.600,BAYAN BAMBU BABET,2023-3
 13.Feb.2023,GECE,A0001,12.33,4.340,BAYAN SOKET,KALPLI SOKET
 08.Jan.2023,GÜNDÜZ,A0001,1.75,0.650,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 03.Feb.2023,GÜNDÜZ,A0033,8.17,1.490,BAYAN BAMBU BABET,2023-3
 15.Jan.2023,GÜNDÜZ,A0013,10.75,4.310,BAYAN SOKET,EKRU ÇOK ARI
 09.Feb.2023,GECE,A0035,15.33,5.280,KISA KONÇ,KISAKONC
 16.Jan.2023,GÜNDÜZ,A0018,18.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 22.Jan.2023,GECE,A0009,28.25,7.330,PATİK,CODE 3P.XX SHORT
 26.Jan.2023,GÜNDÜZ,A0014,5.58,1.970,KISA KONÇ,KISAKONC
 02.Jan.2023,GECE,A0007,9.33,3.820,BAYAN SOKET,DENIZ MAHSULLERİ
 30.Jan.2023,GECE,A0012,16.42,5.010,PATİK,CODE 3P.XX SHORT
 16.Feb.2023,GÜNDÜZ,A0006,9.00,0.000,ERKEK PATİK,CARERA PATİK
 06.Feb.2023,GÜNDÜZ,A0023,10.08,2.390,SNİCKERS,2023-2
 07.Jan.2023,GECE,A0021,22.17,7.870,BAYAN SOKET,FLORAL ANKLE
 18.Jan.2023,GECE,A0002,10.83,4.250,BAYAN SOKET,FLORAL ANKLE
 18.Jan.2023,GÜNDÜZ,A0011,10.08,2.350,SNİCKERS,2023-2
 07.Feb.2023,GÜNDÜZ,A0003,10.83,2.980,PATİK,CODE 3P.XX SHORT
 20.Jan.2023,GECE,A0029,17.17,4.440,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GECE,A0015,15.33,5.510,BAYAN SOKET,2023-1
 14.Feb.2023,GÜNDÜZ,A0023,9.92,2.160,SNİCKERS,2023-2
 02.Jan.2023,GECE,A0003,11.83,4.130,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 20.Feb.2023,GECE,A0010,17.67,4.340,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GECE,A0017,2.00,0.000,BAYAN KISAKONC,DERBILI CEMBERLİ
 18.Jan.2023,GECE,A0035,2.58,1.020,BAYAN SOKET,TEK ARI
 11.Jan.2023,GÜNDÜZ,A0030,7.92,1.760,BAYAN SOKET,POLKA DOTA TRAINER BLUE
 05.Feb.2023,GECE,A0003,27.42,7.700,PATİK,CODE 3P.XX SHORT
 07.Feb.2023,GECE,A0010,16.42,4.290,PATİK,CODE 3P.XX SHORT
 23.Jan.2023,GÜNDÜZ,A0002,6.58,2.540,BAYAN SOKET,FLORAL ANKLE
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 27.Jan.2023,GÜNDÜZ,A0035,13.33,4.160,PATİK,CODE 3P.XX SHORT
 03.Feb.2023,GÜNDÜZ,A0031,8.33,1.470,BAYAN BAMBU BABET,2023-3
 22.Feb.2023,GÜNDÜZ,A0001,8.92,2.990,BAYAN SOKET,KALPLI SOKET
 23.Jan.2023,GECE,A0034,16.00,0.000,ERKEK PATİK,CARERA PATİK
 20.Feb.2023,GECE,A0013,26.00,8.350,PATİK,CODE 3P.XX SHORT
 05.Feb.2023,GECE,A0035,23.25,8.340,KISA KONÇ,KISAKONC
 07.Feb.2023,GECE,A0029,10.83,4.280,BAYAN SOKET,PUNALI SOKET
 20.Jan.2023,GECE,A0036,11.25,5.210,BAYAN SOKET,KÜÇÜK  KALP
 08.Feb.2023,GECE,A0002,17.83,6.100,BAYAN SOKET,KALPLI SOKET
 12.Jan.2023,GÜNDÜZ,A0012,9.67,3.060,BAYAN SOKET,2023-1
 06.Jan.2023,GÜNDÜZ,A0028,8.33,2.800,BAYAN SOKET,KRAL TACI
 03.Feb.2023,GECE,A0022,14.83,3.410,SNİCKERS,2023-2
 13.Jan.2023,GECE,A0019,12.25,4.180,BAYAN SOKET,RIB ANKLE PURPLE
 17.Jan.2023,GECE,A0006,14.00,0.000,ERKEK PATİK,CARERA PATİK
 07.Jan.2023,GECE,A0014,22.00,8.530,BAYAN SOKET,DALLI   PAPTYA
 19.Jan.2023,GECE,A0007,13.92,2.970,SNİCKERS,2023-2
 22.Jan.2023,GECE,A0012,3.75,1.550,BAYAN SOKET,BUYUK KALP
 14.Feb.2023,GÜNDÜZ,A0008,9.25,1.630,ÇETİK,KAMUFLAJ  BABET
 09.Feb.2023,GECE,A0014,16.08,4.930,PATİK,CODE 3P.XX SHORT
 21.Feb.2023,GÜNDÜZ,A0015,9.42,2.940,PATİK,CODE 3P.XX SHORT
 10.Feb.2023,GECE,A0028,8.42,2.900,BAYAN SOKET,PUNALI SOKET
 22.Jan.2023,GECE,A0018,11.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 12.Feb.2023,GECE,A0012,9.00,2.750,PATİK,CODE 3P.XX SHORT
 17.Jan.2023,GECE,A0016,15.50,5.460,BAYAN SOKET,2023-1
 03.Feb.2023,GECE,A0025,14.50,5.240,KISA KONÇ,KISAKONC
 26.Jan.2023,GÜNDÜZ,A0003,15.50,4.310,PATİK,CODE 3P.XX SHORT
 17.Feb.2023,GÜNDÜZ,A0031,1.58,0.000,ÇETİK,KARE  BABET
 31.Jan.2023,GECE,A0029,14.42,4.650,BAYAN SOKET,WHITE HEEL TOE ANKLE
 08.Feb.2023,GECE,A0031,13.92,2.360,ÇETİK,BUYUK  YILDIZ BABET
 05.Feb.2023,GECE,A0005,24.83,14.700,SOKET TENİS,3P-TENİS HAVLU
 20.Feb.2023,GECE,A0034,19.00,0.000,ERKEK PATİK,CARERA PATİK
 17.Feb.2023,GECE,A0017,17.00,0.000,BAYAN PATİK,KOPEK PATİK
 12.Jan.2023,GÜNDÜZ,A0007,4.75,1.880,BAYAN SOKET,DENIZ MAHSULLERİ
 19.Jan.2023,GECE,A0029,16.83,4.470,PATİK,CODE 3P.XX SHORT
 06.Feb.2023,GÜNDÜZ,A0028,9.33,2.530,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GÜNDÜZ,A0007,8.08,3.200,BAYAN SOKET,DENIZ MAHSULLERİ
 12.Jan.2023,GECE,A0019,3.08,1.100,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 05.Jan.2023,GECE,A0035,11.83,4.740,BAYAN SOKET,TEK ARI
 20.Jan.2023,GECE,A0023,13.58,3.220,SNİCKERS,2023-2
 20.Jan.2023,GÜNDÜZ,A0014,8.67,3.160,BAYAN SOKET,2023-1
 05.Jan.2023,GÜNDÜZ,A0007,7.92,3.210,BAYAN SOKET,DENIZ MAHSULLERİ
 14.Feb.2023,GECE,A0002,12.08,4.350,BAYAN SOKET,KALPLI SOKET
 12.Jan.2023,GÜNDÜZ,A0031,5.92,1.120,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 01.Feb.2023,GÜNDÜZ,A0034,12.00,0.000,ERKEK PATİK,CARERA PATİK
 13.Feb.2023,GECE,A0025,13.00,0.000,ERKEK PATİK,CARERA PATİK
 01.Feb.2023,GECE,A0010,13.33,4.540,BAYAN SOKET,WHITE HEEL TOE ANKLE
 06.Feb.2023,GÜNDÜZ,A0035,9.83,3.540,KISA KONÇ,KISAKONC
 30.Jan.2023,GÜNDÜZ,A0010,13.75,4.090,KISA KONÇ,KISAKONC
 10.Feb.2023,GECE,A0034,12.67,0.000,ERKEK PATİK,CARERA PATİK
 27.Jan.2023,GECE,A0008,14.67,3.080,SNİCKERS,2023-2
 20.Feb.2023,GECE,A0017,15.00,0.000,BAYAN PATİK,KOPEK PATİK
 22.Jan.2023,GECE,A0032,25.17,8.150,PATİK,CODE 3P.XX SHORT
 21.Feb.2023,GECE,A0026,16.00,0.000,BAYAN PATİK,KOPEK PATİK
 22.Feb.2023,GÜNDÜZ,A0030,9.00,3.150,BAYAN SOKET,KALPLI SOKET
 27.Jan.2023,GÜNDÜZ,A0028,9.92,3.170,KISA KONÇ,KISAKONC
 09.Feb.2023,GECE,A0029,10.25,3.930,BAYAN SOKET,PUNALI SOKET
 21.Feb.2023,GÜNDÜZ,A0017,8.00,0.000,BAYAN PATİK,SİM CEMBER PATİK
 02.Feb.2023,GECE,A0019,16.00,3.630,BAYAN PATİK,BAYAN KONC SIMLI CEMBER
 02.Feb.2023,GÜNDÜZ,A0017,13.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 05.Jan.2023,GECE,A0025,11.50,4.280,BAYAN SOKET,FLAMINGO SOKET
 20.Feb.2023,GECE,A0012,16.67,5.080,PATİK,CODE 3P.XX SHORT
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 06.Jan.2023,GÜNDÜZ,A0032,7.67,2.950,BAYAN SOKET,DALSIZ PAPTYA
 30.Jan.2023,GÜNDÜZ,A0032,2.92,1.630,BAYAN ERKEK HAVLU,HAVLU TENIS
 12.Feb.2023,GECE,A0004,6.00,0.000,ERKEK PATİK,CARERA PATİK
 07.Jan.2023,GECE,A0028,20.08,6.510,BAYAN SOKET,MANTAR DESEN
 05.Jan.2023,GÜNDÜZ,A0001,8.50,3.110,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 13.Feb.2023,GECE,A0033,2.92,0.510,ÇETİK,ZIGZAG   BABET
 02.Feb.2023,GÜNDÜZ,A0018,13.00,0.000,BAYAN PATİK,KARE SIMLI PATİK
 25.Jan.2023,GECE,A0024,17.92,3.140,BAYAN BAMBU BABET,2023-3
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 20.Jan.2023,GECE,A0028,21.42,5.860,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GÜNDÜZ,A0024,10.33,1.780,ÇETİK,KARE  BABET
 08.Jan.2023,GÜNDÜZ,A0002,17.25,6.790,BAYAN SOKET,FLORAL ANKLE
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 10.Feb.2023,GECE,A0009,7.67,1.650,BAYAN PATİK,TEK NOKTA PATİK
 06.Feb.2023,GECE,A0011,13.33,2.230,BAYAN BAMBU BABET,2023-3
 22.Jan.2023,GECE,A0006,25.00,0.000,ERKEK PATİK,CARERA PATİK
 23.Jan.2023,GÜNDÜZ,A0006,12.00,0.000,ERKEK PATİK,CARERA PATİK
 06.Jan.2023,GÜNDÜZ,A0019,7.42,2.580,BAYAN SOKET,3 LU DERBILI PURPLE/PINK
 27.Jan.2023,GECE,A0017,3.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 26.Jan.2023,GÜNDÜZ,A0016,14.83,5.260,KISA KONÇ,KISAKONC
 12.Feb.2023,GECE,A0010,27.33,7.150,PATİK,CODE 3P.XX SHORT
 18.Jan.2023,GECE,A0003,8.83,4.080,BAYAN SOKET,RIB ANKLE PURPLE
 26.Jan.2023,GÜNDÜZ,A0009,13.17,3.450,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GÜNDÜZ,A0030,8.25,2.940,BAYAN SOKET,POLKA DOTA ANKLE BLUE
 05.Jan.2023,GECE,A0013,11.67,4.650,BAYAN SOKET,EKRU ÇOK ARI
 05.Jan.2023,GECE,A0027,13.08,4.260,BAYAN SOKET,MANTAR DESEN
 25.Jan.2023,GÜNDÜZ,A0024,18.42,3.250,BAYAN BAMBU BABET,2023-3
 26.Jan.2023,GÜNDÜZ,A0012,10.75,3.200,PATİK,CODE 3P.XX SHORT
 10.Feb.2023,GECE,A0022,23.67,5.070,SNİCKERS,2023-2
 26.Jan.2023,GÜNDÜZ,A0009,3.67,1.080,KISA KONÇ,KISAKONC
 07.Jan.2023,GECE,A0025,21.25,7.910,BAYAN SOKET,FLAMINGO SOKET
 09.Jan.2023,GÜNDÜZ,A0036,10.50,3.570,BAYAN SOKET,2023-1
 04.Jan.2023,GECE,A0014,33.08,12.930,BAYAN SOKET,DALLI   PAPTYA
 21.Feb.2023,GECE,A0029,11.75,4.280,BAYAN SOKET,PUNALI SOKET
 31.Jan.2023,GÜNDÜZ,A0008,5.25,1.100,SNİCKERS,2023-2
 30.Jan.2023,GECE,A0023,15.00,3.540,SNİCKERS,2023-2
 05.Feb.2023,GECE,A0012,21.75,7.720,KISA KONÇ,KISAKONC
 24.Jan.2023,GÜNDÜZ,A0020,10.92,3.020,PATİK,CODE 3P.XX SHORT
 08.Feb.2023,GÜNDÜZ,A0030,4.25,1.600,BAYAN SOKET,KALPLI SOKET
 22.Feb.2023,GÜNDÜZ,A0002,8.17,2.870,BAYAN SOKET,KALPLI SOKET
 07.Feb.2023,GÜNDÜZ,A0022,9.33,2.200,SNİCKERS,2023-2
 18.Jan.2023,GÜNDÜZ,A0015,10.50,3.650,BAYAN SOKET,2023-1
 25.Jan.2023,GECE,A0035,16.75,5.240,PATİK,CODE 3P.XX SHORT
 16.Feb.2023,GECE,A0025,11.00,0.000,ERKEK PATİK,CARERA PATİK
 10.Feb.2023,GECE,A0013,24.58,7.730,PATİK,CODE 3P.XX SHORT
 17.Feb.2023,GECE,A0027,13.33,4.870,BAYAN SOKET,PUNALI SOKET
 31.Jan.2023,GÜNDÜZ,A0001,10.08,3.090,KISA KONÇ,KISAKONC
 01.Feb.2023,GECE,A0003,8.33,2.390,PATİK,CODE 3P.XX SHORT
 17.Jan.2023,GECE,A0017,17.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 01.Feb.2023,GÜNDÜZ,A0032,3.58,2.360,BAYAN ERKEK HAVLU,HAVLU TENIS
 01.Feb.2023,GÜNDÜZ,,0.00,0.000,,
 31.Jan.2023,GÜNDÜZ,A0030,10.92,3.510,KISA KONÇ,KISAKONC
 26.Jan.2023,GÜNDÜZ,A0025,9.42,3.410,KISA KONÇ,KISAKONC
 05.Feb.2023,GECE,A0036,18.83,9.000,SOKET TENİS,SÜPERCITY TENIS
 12.Feb.2023,GECE,A0027,20.83,7.400,BAYAN SOKET,PUNALI SOKET
 14.Feb.2023,GECE,A0001,11.58,4.150,BAYAN SOKET,KALPLI SOKET
 20.Feb.2023,GECE,A0005,12.50,6.650,SOKET TENİS,3P-TENİS HAVLU
 13.Jan.2023,GECE,A0032,11.42,4.390,BAYAN SOKET,DALSIZ PAPTYA
 27.Jan.2023,GECE,A0011,14.25,3.080,SNİCKERS,2023-2
 14.Feb.2023,GÜNDÜZ,A0011,11.42,1.960,ÇETİK,KALPLI   BABET
 09.Feb.2023,GECE,A0032,1.92,1.120,SOKET TENİS,3P-TENİS HAVLU
 26.Jan.2023,GÜNDÜZ,A0018,5.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 16.Jan.2023,GECE,A0023,15.25,5.430,BAYAN SOKET,2023-1
 12.Jan.2023,GECE,A0036,15.42,4.890,BAYAN SOKET,2023-1
 26.Jan.2023,GÜNDÜZ,A0023,15.08,3.550,SNİCKERS,2023-2
 03.Feb.2023,GÜNDÜZ,A0012,10.00,3.030,PATİK,CODE 3P.XX SHORT
 05.Feb.2023,GECE,A0034,20.00,0.000,ERKEK PATİK,CARERA PATİK
 16.Jan.2023,GÜNDÜZ,A0009,11.33,2.770,PATİK,CODE 3P.XX SHORT
 09.Jan.2023,GECE,A0034,14.00,0.000,ERKEK PATİK,CARERA PATİK
 27.Jan.2023,GÜNDÜZ,A0019,9.92,2.910,KISA KONÇ,KISAKONC
 24.Jan.2023,GÜNDÜZ,A0032,2.08,0.640,PATİK,CODE 3P.XX SHORT
 27.Jan.2023,GECE,A0020,17.42,4.760,PATİK,CODE 3P.XX SHORT
 18.Jan.2023,GECE,A0025,16.00,5.060,PATİK,CODE 3P.XX SHORT
 14.Feb.2023,GECE,A0033,14.25,2.500,ÇETİK,ZIGZAG   BABET
 02.Feb.2023,GÜNDÜZ,A0007,7.92,1.330,ÇETİK,CEMBERLI BABET
 02.Feb.2023,GÜNDÜZ,A0024,7.83,1.410,ÇETİK,NOKTALI  BABET
 13.Jan.2023,GECE,A0035,11.58,4.490,BAYAN SOKET,TEK ARI
 20.Feb.2023,GÜNDÜZ,A0036,8.42,4.450,SOKET TENİS,3P-TENİS HAVLU
 08.Jan.2023,GÜNDÜZ,A0004,13.25,5.160,BAYAN SOKET,TEK  PAPTYA
 06.Feb.2023,GECE,A0023,14.83,3.520,SNİCKERS,2023-2
 30.Jan.2023,GECE,A0033,13.83,2.530,BAYAN BAMBU BABET,2023-3
 16.Feb.2023,GÜNDÜZ,A0008,8.58,1.420,BAYAN BAMBU BABET,2023-3
 16.Feb.2023,GÜNDÜZ,A0010,5.33,1.400,PATİK,CODE 3P.XX SHORT
 13.Jan.2023,GECE,A0022,14.42,3.350,SNİCKERS,2023-2
 31.Jan.2023,GECE,A0025,15.25,5.400,KISA KONÇ,KISAKONC
 27.Jan.2023,GÜNDÜZ,A0001,9.75,2.950,KISA KONÇ,KISAKONC
 15.Feb.2023,GECE,A0034,24.00,0.000,ERKEK PATİK,CARERA PATİK
 11.Jan.2023,GÜNDÜZ,A0011,9.83,2.300,SNİCKERS,2023-2
 25.Jan.2023,GÜNDÜZ,A0008,10.08,2.080,SNİCKERS,2023-2
 15.Jan.2023,GÜNDÜZ,A0024,18.00,4.170,SNİCKERS,2023-2
 20.Feb.2023,GECE,A0002,20.83,7.670,BAYAN SOKET,KALPLI SOKET
 22.Feb.2023,GÜNDÜZ,A0036,7.50,4.850,SOKET TENİS,3P-TENİS HAVLU
 16.Feb.2023,GECE,A0027,12.00,4.250,BAYAN SOKET,PUNALI SOKET
 20.Feb.2023,GECE,A0012,29.42,9.010,PATİK,CODE 3P.XX SHORT
 05.Jan.2023,GÜNDÜZ,A0032,20.17,7.840,BAYAN SOKET,DALSIZ PAPTYA
 23.Jan.2023,GÜNDÜZ,A0018,14.00,0.000,BAYAN PATİK,BAYAN SIMLI KARELI  PATIK
 27.Jan.2023,GECE,A0026,13.00,0.000,BAYAN PATİK,BAYAN KÜÇÜK NOKTA
 06.Jan.2023,GECE,A0031,10.42,1.830,ÇETİK,3PK LOW CUT NO SHOW SOCKS
 13.Jan.2023,GECE,A0028,12.67,4.020,BAYAN SOKET,MANTAR DESEN
 02.Feb.2023,GECE,A0009,3.58,0.760,BAYAN PATİK,D
 02.Feb.2023,GECE,A0017,5.00,0.000,BAYAN PATİK,BAYAN YILDIZ KABARTMA 
 20.Feb.2023,GÜNDÜZ,A0003,10.42,2.850,PATİK,CODE 3P.XX SHORT
 01.Feb.2023,GECE,A0015,14.67,5.240,KISA KONÇ,KISAKONC
 22.Jan.2023,GECE,A0003,11.42,4.050,BAYAN SOKET,RIB ANKLE PURPLE
 31.Jan.2023,GECE,A0034,14.00,0.000,ERKEK PATİK,CARERA PATİK
 18.Jan.2023,GÜNDÜZ,A0021,12.08,2.900,PATİK,CODE 3P.XX SHORT
